food,parasite,rep,ID,Death_Date,lifespan,status,metsch_infection
Ank,MicG/Metsch,9,ANK_MG/ME_9,9/16,5,1,0
CYA,MicG/Metsch,5,CYA_MG/ME_5,9/17,6,1,0
CYA,MicG,20,CYA_MG_20,9/20,9,1,N/A
CYA,MicG,2,CYA_MG_2,9/21,10,1,N/A
Ank,MicG/Metsch,28,ANK_MG/ME_28,9/25,14,1,1
Ank,MicG/Metsch,20,ANK_MG/ME_20,9/26,15,1,0
CYA,Metsch,10,CYA_ME_10,9/26,15,1,1
Ank,Metsch,7,Ank_ME_7,9/27,16,1,1
Ank,MicG/Metsch,10,ANK_MG/ME_10,9/27,16,1,1
CYA,Metsch,27,CYA_ME_27,9/27,16,1,1
Ank,Metsch,18,Ank_ME_18,9/28,17,1,1
Ank,Metsch,30,Ank_ME_30,9/28,17,1,1
Ank,MicG/Metsch,1,ANK_MG/ME_1,9/28,17,1,1
Ank,MicG/Metsch,2,ANK_MG/ME_2,9/28,17,1,1
Ank,Metsch,4,Ank_ME_4,9/29,18,1,1
Ank,MicG/Metsch,5,ANK_MG/ME_5,9/29,18,1,1
Ank,MicG/Metsch,8,ANK_MG/ME_8,9/29,18,1,1
CYA,MicG/Metsch,26,CYA_MG/ME_26,9/29,18,1,1
Ank,MicG/Metsch,15,ANK_MG/ME_15,9/30,19,1,0
Ank,MicG/Metsch,26,ANK_MG/ME_26,9/30,19,1,1
Ank,MicG,24,Ank_MG_24,10/1,20,1,N/A
Ank,Metsch,21,Ank_ME_21,10/1,20,1,1
Ank,MicG/Metsch,22,ANK_MG/ME_22,10/1,20,1,1
CYA,Metsch,8,CYA_ME_8,10/1,20,1,1
CYA,MicG/Metsch,10,CYA_MG/ME_10,10/1,20,1,0
CYA,MicG/Metsch,20,CYA_MG/ME_20,10/1,20,1,0
Ank,Metsch,20,Ank_ME_20,10/2,21,1,1
CYA,Uninfected,15,CYA_U_15,10/2,21,1,N/A
CYA,Uninfected,27,CYA_U_27,10/2,21,1,N/A
CYA,Metsch,15,CYA_ME_15,10/2,21,1,1
CYA,Metsch,21,CYA_ME_21,10/2,21,1,1
CYA,MicG/Metsch,29,CYA_MG/ME_29,10/2,21,1,0
Ank,Metsch,1,Ank_ME_1,10/3,22,1,1
Ank,Metsch,3,Ank_ME_3,10/3,22,1,1
Ank,Metsch,25,Ank_ME_25,10/3,22,1,1
Ank,MicG/Metsch,16,ANK_MG/ME_16,10/3,22,1,1
CYA,MicG/Metsch,1,CYA_MG/ME_1,10/3,22,1,0
CYA,MicG/Metsch,17,CYA_MG/ME_17,10/3,22,1,0
Ank,MicG/Metsch,30,ANK_MG/ME_30,10/4,23,1,0
Ank,Metsch,15,Ank_ME_15,10/5,24,1,1
Ank,Uninfected,19,Ank_U_19,10/7,26,1,N/A
Ank,Metsch,29,Ank_ME_29,10/7,26,1,0
Ank,MicG/Metsch,29,ANK_MG/ME_29,10/7,26,1,0
CYA,Metsch,13,CYA_ME_13,10/7,26,1,0
CYA,MicG/Metsch,15,CYA_MG/ME_15,10/7,26,1,0
CYA,MicG/Metsch,18,CYA_MG/ME_18,10/7,26,1,0
CYA,MicG/Metsch,19,CYA_MG/ME_19,10/7,26,1,0
Ank,Uninfected,13,Ank_U_13,10/8,27,1,N/A
CYA,MicG/Metsch,6,CYA_MG/ME_6,10/8,27,1,0
Ank,MicG,30,Ank_MG_30,10/9,28,1,N/A
CYA,MicG/Metsch,9,CYA_MG/ME_9,10/9,28,1,0
Ank,Uninfected,18,Ank_U_18,10/11,30,1,N/A
CYA,MicG,25,CYA_MG_25,10/12,31,1,N/A
Ank,Uninfected,8,Ank_U_8,10/13,32,1,N/A
CYA,Metsch,29,CYA_ME_29,10/13,32,1,0
CYA,MicG/Metsch,21,CYA_MG/ME_21,10/13,32,1,0
CYA,MicG/Metsch,30,CYA_MG/ME_30,10/13,32,1,0
Ank,Uninfected,15,Ank_U_15,10/15,34,1,N/A
Ank,MicG/Metsch,25,ANK_MG/ME_25,10/15,34,1,0
CYA,MicG,6,CYA_MG_6,10/15,34,1,N/A
CYA,Metsch,4,CYA_ME_4,10/15,34,1,0
CYA,MicG/Metsch,7,CYA_MG/ME_7,10/15,34,1,0
Ank,MicG,22,Ank_MG_22,10/16,35,1,N/A
CYA,MicG,24,CYA_MG_24,10/16,35,1,N/A
CYA,MicG/Metsch,13,CYA_MG/ME_13,10/16,35,1,0
Ank,MicG,17,Ank_MG_17,10/17,36,1,N/A
Ank,Uninfected,11,Ank_U_11,10/19,38,1,N/A
Ank,Uninfected,29,Ank_U_29,10/19,38,1,N/A
Ank,Uninfected,30,Ank_U_30,10/19,38,1,N/A
Ank,MicG,11,Ank_MG_11,10/19,38,1,N/A
Ank,Metsch,26,Ank_ME_26,10/19,38,1,0
CYA,Uninfected,5,CYA_U_5,10/19,38,1,N/A
CYA,MicG,11,CYA_MG_11,10/19,38,1,N/A
CYA,MicG,18,CYA_MG_18,10/19,38,1,N/A
CYA,MicG/Metsch,22,CYA_MG/ME_22,10/19,38,1,0
Ank,Uninfected,24,Ank_U_24,10/20,39,1,N/A
CYA,MicG/Metsch,25,CYA_MG/ME_25,10/20,39,1,0
Ank,Uninfected,7,Ank_U_7,10/22,41,1,N/A
