rep,food,parasite,spores_piercing,spores_outside,spores,notes
Ank_ME_3,Ank,Metsch,1,2,3,
Ank_ME_9,Ank,Metsch,2,0,2,
Ank_ME_11,Ank,Metsch,3,2,5,
Ank_ME_12,Ank,Metsch,0,0,0,
Ank_ME_15,Ank,Metsch,1,0,1,babies blocking part of  gut
Ank_ME_18,Ank,Metsch,0,1,1,
Ank_ME_22,Ank,Metsch,5,1,6,
Ank_ME_23,Ank,Metsch,0,2,2,
Ank_ME_24,Ank,Metsch,0,1,1,
Ank_ME_25,Ank,Metsch,0,0,0,babies blockling gut
Ank_ME_26,Ank,Metsch,3,2,5,
Ank_ME_28,Ank,Metsch,1,2,3,
Ank_ME_30,Ank,Metsch,0,0,0,babies blocking gut
ANK_MG/ME_1,Ank,MicG/Metsch,1,0,1,
ANK_MG/ME_2,Ank,MicG/Metsch,0,1,1,
ANK_MG/ME_3,Ank,MicG/Metsch,1,0,1,
ANK_MG/ME_4,Ank,MicG/Metsch,0,0,0,
ANK_MG/ME_5,Ank,MicG/Metsch,0,2,2,
ANK_MG/ME_6,Ank,MicG/Metsch,1,3,4,
ANK_MG/ME_8,Ank,MicG/Metsch,1,3,4,
ANK_MG/ME_10,Ank,MicG/Metsch,0,1,1,
ANK_MG/ME_13,Ank,MicG/Metsch,0,0,0,
ANK_MG/ME_14,Ank,MicG/Metsch,0,0,0,
ANK_MG/ME_20,Ank,MicG/Metsch,0,0,0,
ANK_MG/ME_21,Ank,MicG/Metsch,0,2,2,
ANK_MG/ME_23,Ank,MicG/Metsch,0,1,1,
ANK_MG/ME_24,Ank,MicG/Metsch,0,0,0,
ANK_MG/ME_27,Ank,MicG/Metsch,1,0,1,
ANK_MG/ME_28,Ank,MicG/Metsch,1,2,3,
ANK_MG/ME_29,Ank,MicG/Metsch,1,0,1,
ANK_MG/ME_30,Ank,MicG/Metsch,0,0,0,
CYA_ME_2,CYA,Metsch,0,1,1,
CYA_ME_4,CYA,Metsch,0,0,0,
CYA_ME_5,CYA,Metsch,0,3,3,
CYA_ME_6,CYA,Metsch,3,1,4,
CYA_ME_8,CYA,Metsch,3,1,4,
CYA_ME_10,CYA,Metsch,1,0,1,
CYA_ME_12,CYA,Metsch,4,2,6,
CYA_ME_13,CYA,Metsch,0,3,3,
CYA_ME_14,CYA,Metsch,4,1,5,
CYA_ME_15,CYA,Metsch,0,0,0,
CYA_ME_16,CYA,Metsch,2,1,3,
CYA_ME_17,CYA,Metsch,0,3,3,
CYA_ME_18,CYA,Metsch,2,2,4,
CYA_ME_21,CYA,Metsch,1,1,2,
CYA_ME_22,CYA,Metsch,3,0,3,
CYA_ME_23,CYA,Metsch,0,0,0,
CYA_ME_24,CYA,Metsch,0,2,2,
CYA_ME_25,CYA,Metsch,1,3,4,
CYA_ME_27,CYA,Metsch,1,0,1,
CYA_ME_29,CYA,Metsch,0,1,1,
CYA_MG/ME_1,CYA,MicG/Metsch,0,0,0,
CYA_MG/ME_3,CYA,MicG/Metsch,2,2,4,
CYA_MG/ME_4,CYA,MicG/Metsch,1,1,2,
CYA_MG/ME_5,CYA,MicG/Metsch,0,0,0,
CYA_MG/ME_7,CYA,MicG/Metsch,0,0,0,
CYA_MG/ME_9,CYA,MicG/Metsch,1,1,2,
CYA_MG/ME_11,CYA,MicG/Metsch,1,0,1,
CYA_MG/ME_13,CYA,MicG/Metsch,3,2,5,
CYA_MG/ME_14,CYA,MicG/Metsch,1,0,1,
CYA_MG/ME_15,CYA,MicG/Metsch,0,0,0,
CYA_MG/ME_17,CYA,MicG/Metsch,2,0,2,
CYA_MG/ME_20,CYA,MicG/Metsch,3,2,5,
CYA_MG/ME_21,CYA,MicG/Metsch,2,0,2,
CYA_MG/ME_22,CYA,MicG/Metsch,0,0,0,
CYA_MG/ME_24,CYA,MicG/Metsch,1,1,2,
CYA_MG/ME_26,CYA,MicG/Metsch,1,2,3,
CYA_MG/ME_27,CYA,MicG/Metsch,2,1,3,
CYA_MG/ME_28,CYA,MicG/Metsch,0,0,0,
CYA_MG/ME_29,CYA,MicG/Metsch,1,1,2,
