ID,food,parasite,rep,clutch,date,day,babies
Ank_U_1,Ank,Uninfected,1,1,9/20/2023,10,4
Ank_U_3,Ank,Uninfected,3,1,9/20/2023,10,2
Ank_U_5,Ank,Uninfected,5,1,9/20/2023,10,8
Ank_U_6,Ank,Uninfected,6,1,9/20/2023,10,5
Ank_U_7,Ank,Uninfected,7,1,9/20/2023,10,3
Ank_U_8,Ank,Uninfected,8,1,9/20/2023,10,6
Ank_U_11,Ank,Uninfected,11,1,9/20/2023,10,3
Ank_U_12,Ank,Uninfected,12,1,9/20/2023,10,6
Ank_U_13,Ank,Uninfected,13,1,9/20/2023,10,5
Ank_U_14,Ank,Uninfected,14,1,9/20/2023,10,6
Ank_U_15,Ank,Uninfected,15,1,9/20/2023,10,6
Ank_U_16,Ank,Uninfected,16,1,9/20/2023,10,4
Ank_U_17,Ank,Uninfected,17,1,9/20/2023,10,5
Ank_U_18,Ank,Uninfected,18,1,9/20/2023,10,6
Ank_U_19,Ank,Uninfected,19,1,9/20/2023,10,4
Ank_U_20,Ank,Uninfected,20,1,9/20/2023,10,6
Ank_U_21,Ank,Uninfected,21,1,9/20/2023,10,9
Ank_U_22,Ank,Uninfected,22,1,9/20/2023,10,4
Ank_U_24,Ank,Uninfected,24,1,9/20/2023,10,4
Ank_U_26,Ank,Uninfected,26,1,9/20/2023,10,4
Ank_U_27,Ank,Uninfected,27,1,9/20/2023,10,3
Ank_U_28,Ank,Uninfected,28,1,9/20/2023,10,7
Ank_U_29,Ank,Uninfected,29,1,9/20/2023,10,6
Ank_U_30,Ank,Uninfected,30,1,9/20/2023,10,5
Ank_MG_1,Ank,MicG,1,1,9/20/2023,10,5
Ank_MG_2,Ank,MicG,2,1,9/20/2023,10,5
Ank_MG_3,Ank,MicG,3,1,9/20/2023,10,2
Ank_MG_4,Ank,MicG,4,1,9/20/2023,10,6
Ank_MG_5,Ank,MicG,5,1,9/20/2023,10,7
Ank_MG_6,Ank,MicG,6,1,9/20/2023,10,5
Ank_MG_7,Ank,MicG,7,1,9/23/2023,13,5
Ank_MG_8,Ank,MicG,8,1,9/20/2023,10,7
Ank_MG_9,Ank,MicG,9,1,9/20/2023,10,6
Ank_MG_11,Ank,MicG,11,1,9/20/2023,10,4
Ank_MG_12,Ank,MicG,12,1,9/20/2023,10,8
Ank_MG_14,Ank,MicG,14,1,9/20/2023,10,5
Ank_MG_15,Ank,MicG,15,1,9/20/2023,10,6
Ank_MG_16,Ank,MicG,16,1,9/20/2023,10,6
Ank_MG_17,Ank,MicG,17,1,9/20/2023,10,8
Ank_MG_18,Ank,MicG,18,1,9/20/2023,10,2
Ank_MG_19,Ank,MicG,19,1,9/20/2023,10,4
Ank_MG_20,Ank,MicG,20,1,9/20/2023,10,5
Ank_MG_21,Ank,MicG,21,1,9/20/2023,10,8
Ank_MG_22,Ank,MicG,22,1,9/20/2023,10,4
Ank_MG_24,Ank,MicG,24,1,9/20/2023,10,6
Ank_MG_25,Ank,MicG,25,1,9/20/2023,10,4
Ank_MG_26,Ank,MicG,26,1,9/20/2023,10,7
Ank_MG_27,Ank,MicG,27,1,9/20/2023,10,4
Ank_MG_28,Ank,MicG,28,1,9/20/2023,10,4
Ank_MG_29,Ank,MicG,29,1,9/20/2023,10,3
Ank_MG_30,Ank,MicG,30,1,9/20/2023,10,6
Ank_ME_1,Ank,Metsch,1,1,9/20/2023,10,6
Ank_ME_2,Ank,Metsch,2,1,9/20/2023,10,6
Ank_ME_3,Ank,Metsch,3,1,9/20/2023,10,4
Ank_ME_4,Ank,Metsch,4,1,9/20/2023,10,5
