number,food,parasite,rep,totbabies,metsch_infection,lifespan,babies_perday
1,Ank,Metsch,1,39,1,22,1.772727273
2,Ank,Metsch,10,282,0,52,5.423076923
3,Ank,Metsch,11,305,0,61,5
4,Ank,Metsch,12,322,0,57,5.649122807
5,Ank,Metsch,13,339,0,57,5.947368421
6,Ank,Metsch,15,52,1,24,2.166666667
7,Ank,Metsch,17,340,0,60,5.666666667
8,Ank,Metsch,18,30,1,17,1.764705882
9,Ank,Metsch,2,313,0,58,5.396551724
10,Ank,Metsch,20,22,1,21,1.047619048
11,Ank,Metsch,21,28,1,20,1.4
12,Ank,Metsch,22,248,0,55,4.509090909
13,Ank,Metsch,23,315,0,71,4.436619718
14,Ank,Metsch,24,369,0,74,4.986486486
15,Ank,Metsch,25,38,1,22,1.727272727
16,Ank,Metsch,26,149,0,38,3.921052632
17,Ank,Metsch,28,394,0,74,5.324324324
18,Ank,Metsch,29,66,0,26,2.538461538
19,Ank,Metsch,3,35,1,22,1.590909091
20,Ank,Metsch,30,36,1,17,2.117647059
21,Ank,Metsch,4,25,1,18,1.388888889
22,Ank,Metsch,7,30,1,16,1.875
23,Ank,Metsch,8,325,0,70,4.642857143
25,Ank,MicG,1,73,N/A,57,1.280701754
26,Ank,MicG,11,55,N/A,38,1.447368421
27,Ank,MicG,12,191,N/A,53,3.603773585
28,Ank,MicG,14,237,N/A,63,3.761904762
29,Ank,MicG,15,70,N/A,63,1.111111111
30,Ank,MicG,16,133,N/A,61,2.180327869
31,Ank,MicG,17,95,N/A,36,2.638888889
32,Ank,MicG,18,201,N/A,63,3.19047619
33,Ank,MicG,19,159,N/A,63,2.523809524
34,Ank,MicG,2,152,N/A,52,2.923076923
35,Ank,MicG,20,193,N/A,57,3.385964912
36,Ank,MicG,21,53,N/A,62,0.8548387097
37,Ank,MicG,22,80,N/A,35,2.285714286
38,Ank,MicG,24,52,N/A,20,2.6
39,Ank,MicG,25,148,N/A,55,2.690909091
40,Ank,MicG,26,142,N/A,63,2.253968254
41,Ank,MicG,27,231,N/A,83,2.78313253
42,Ank,MicG,28,165,N/A,81,2.037037037
43,Ank,MicG,29,59,N/A,70,0.8428571429
44,Ank,MicG,3,194,N/A,64,3.03125
45,Ank,MicG,30,59,N/A,28,2.107142857
46,Ank,MicG,4,195,N/A,59,3.305084746
47,Ank,MicG,5,153,N/A,64,2.390625
48,Ank,MicG,6,68,N/A,64,1.0625
49,Ank,MicG,7,102,N/A,74,1.378378378
50,Ank,MicG,8,108,N/A,47,2.29787234
51,Ank,MicG,9,78,N/A,67,1.164179104
52,Ank,MicG/Metsch,1,28,1,17,1.647058824
53,Ank,MicG/Metsch,10,25,1,16,1.5625
54,Ank,MicG/Metsch,12,140,0,44,3.181818182
55,Ank,MicG/Metsch,13,158,0,57,2.771929825
56,Ank,MicG/Metsch,14,267,0,57,4.684210526
57,Ank,MicG/Metsch,15,35,0,19,1.842105263
