food,parasite,exptime,rep,embup,embdw,penup,pendw
High,MET,early,1,NA,NA,3,1
High,MET,early,2,NA,NA,0,1
High,MET,early,3,NA,NA,0,1
High,MET,early,4,NA,NA,0,1
High,MET,early,5,NA,NA,5,1
High,MET,early,6,NA,NA,2,2
High,MET,early,7,NA,NA,1,2
High,MET,early,8,NA,NA,NA,NA
High,MET,early,9,NA,NA,2,3
High,MET,early,10,NA,NA,5,4
High,MET,early,11,10,1,5,0
High,MET,early,12,8,2,1,2
High,MET,early,13,4,4,2,2
High,MET,early,14,8,2,4,2
High,MET,early,15,5,3,1,0
High,MET,early,16,2,0,1,2
High,MET,early,17,12,4,4,3
High,MET,early,18,6,2,1,1
High,MET,early,19,3,1,1,3
High,MET,early,20,5,2,2,1
High,MET,early,21,6,0,NA,NA
High,MET,early,22,6,5,3,1
High,MET,early,23,11,0,2,0
High,MET,early,24,6,4,3,0
High,MET,early,25,9,2,1,1
High,MET,early,26,7,3,NA,NA
High,MET,early,27,4,3,2,1
High,MET,early,28,8,4,1,3
High,MET,early,29,7,3,0,1
High,MET,early,30,10,1,1,0
Low,MET,early,1,NA,NA,4,0
Low,MET,early,2,NA,NA,4,3
Low,MET,early,3,NA,NA,4,3
Low,MET,early,4,NA,NA,2,0
Low,MET,early,5,NA,NA,0,0
Low,MET,early,6,NA,NA,4,0
Low,MET,early,7,NA,NA,4,1
Low,MET,early,8,NA,NA,7,3
Low,MET,early,9,NA,NA,3,1
Low,MET,early,10,NA,NA,2,4
Low,MET,early,11,4,1,4,2
Low,MET,early,12,10,3,1,3
Low,MET,early,13,4,2,2,0
Low,MET,early,14,4,1,3,2
Low,MET,early,15,2,0,0,1
Low,MET,early,16,5,4,3,0
Low,MET,early,17,9,3,1,1
Low,MET,early,18,9,4,3,2
Low,MET,early,19,4,3,0,1
Low,MET,early,20,6,4,4,1
Low,MET,early,21,6,3,2,1
Low,MET,early,22,4,1,2,0
Low,MET,early,23,7,3,6,2
Low,MET,early,24,8,2,4,2
Low,MET,early,25,7,3,0,0
Low,MET,early,26,9,5,1,2
Low,MET,early,27,6,0,0,0
Low,MET,early,28,6,5,2,3
Low,MET,early,29,9,3,1,5
Low,MET,early,30,7,2,3,4
High,MG_MET,early,1,NA,NA,1,0
High,MG_MET,early,2,5,3,6,0
High,MG_MET,early,3,NA,NA,6,0
High,MG_MET,early,4,NA,NA,0,2
High,MG_MET,early,5,6,3,4,0
High,MG_MET,early,6,NA,NA,2,0
High,MG_MET,early,7,8,2,2,2
High,MG_MET,early,8,5,1,1,5
High,MG_MET,early,9,3,3,5,2
High,MG_MET,early,10,3,2,3,0
High,MG_MET,early,11,NA,NA,NA,NA
High,MG_MET,early,12,2,1,4,0
High,MG_MET,early,13,NA,NA,1,0
High,MG_MET,early,14,7,3,4,4
High,MG_MET,early,15,3,3,6,2
High,MG_MET,early,16,NA,NA,0,1
High,MG_MET,early,17,1,1,2,3
High,MG_MET,early,18,0,1,3,0
High,MG_MET,early,19,7,0,1,0
High,MG_MET,early,20,NA,NA,5,1
High,MG_MET,early,21,NA,NA,5,1
High,MG_MET,early,22,6,1,1,2
High,MG_MET,early,23,8,4,2,0
High,MG_MET,early,24,3,2,2,3
High,MG_MET,early,25,7,2,8,2
High,MG_MET,early,26,NA,NA,NA,NA
High,MG_MET,early,27,4,1,3,0
High,MG_MET,early,28,2,0,0,0
High,MG_MET,early,29,1,0,6,0
High,MG_MET,early,30,1,0,2,1
Low,MG_MET,early,1,7,NA,1,2
Low,MG_MET,early,2,8,4,0,1
Low,MG_MET,early,3,3,0,3,3
Low,MG_MET,early,4,5,1,2,2
Low,MG_MET,early,5,NA,NA,1,0
Low,MG_MET,early,6,6,2,0,0
Low,MG_MET,early,7,NA,NA,3,0
Low,MG_MET,early,8,NA,NA,0,1
Low,MG_MET,early,9,3,0,NA,NA
Low,MG_MET,early,10,3,1,2,0
Low,MG_MET,early,11,3,2,1,2
Low,MG_MET,early,12,4,0,3,2
Low,MG_MET,early,13,6,1,1,2
Low,MG_MET,early,14,NA,NA,0,0
Low,MG_MET,early,15,NA,NA,4,0
Low,MG_MET,early,16,7,1,1,0
Low,MG_MET,early,17,6,1,1,1
Low,MG_MET,early,18,NA,NA,2,3
Low,MG_MET,early,19,7,2,0,2
Low,MG_MET,early,20,1,0,2,1
Low,MG_MET,early,21,6,1,2,2
Low,MG_MET,early,22,NA,NA,0,0
Low,MG_MET,early,23,NA,NA,7,1
Low,MG_MET,early,24,NA,NA,NA,NA
Low,MG_MET,early,25,NA,NA,0,1
Low,MG_MET,early,26,9,2,5,0
Low,MG_MET,early,27,4,3,3,1
Low,MG_MET,early,28,8,2,2,0
Low,MG_MET,early,29,5,2,3,2
Low,MG_MET,early,30,8,2,6,1
High,LATE_MET,late,1,0,3,0,0
High,LATE_MET,late,2,NA,NA,NA,NA
High,LATE_MET,late,3,1,0,0,0
High,LATE_MET,late,4,0,6,1,1
High,LATE_MET,late,5,NA,NA,NA,NA
High,LATE_MET,late,6,NA,NA,NA,NA
High,LATE_MET,late,7,0,1,0,0
High,LATE_MET,late,8,NA,NA,NA,NA
High,LATE_MET,late,9,3,2,1,0
High,LATE_MET,late,10,NA,NA,NA,NA
High,LATE_MET,late,11,NA,NA,NA,NA
High,LATE_MET,late,12,4,1,0,0
High,LATE_MET,late,13,6,4,0,0
High,LATE_MET,late,14,3,1,1,0
High,LATE_MET,late,15,0,2,1,0
High,LATE_MET,late,16,5,2,0,2
High,LATE_MET,late,17,0,7,0,1
High,LATE_MET,late,18,0,3,0,0
High,LATE_MET,late,19,NA,NA,NA,NA
High,LATE_MET,late,20,2,2,1,0
High,LATE_MET,late,21,1,1,0,1
High,LATE_MET,late,22,4,2,0,0
High,LATE_MET,late,23,0,0,0,0
High,LATE_MET,late,24,NA,NA,NA,NA
High,LATE_MET,late,25,1,1,1,0
High,LATE_MET,late,26,0,2,0,0
