food,parasite,rep,M1,M2,I1,I2,M,I,MicG,MetschInfectious,MetschAll
H,MET,1,NA,NA,NA,NA,NA,NA,0,NA,NA
H,MET,2,79.75,77.5,40.25,42.5,78.625,41.375,0,1,1
H,MET,3,120,119.5,67.75,71.5,119.75,69.625,0,1,1
H,MET,4,107,106.25,64.25,83.25,106.625,73.75,0,1,1
H,MET,5,74.5,84.75,44,56.5,79.625,50.25,0,1,1
H,MET,6,72.75,81,34.75,41,76.875,37.875,0,1,1
H,MET,7,85.75,75,53.25,41,80.375,47.125,0,1,1
H,MET,8,NA,NA,NA,NA,NA,NA,0,NA,NA
H,MET,9,67.75,57.75,36.25,26,62.75,31.125,0,1,1
H,MET,10,84.75,85.25,64.75,67.75,85,66.25,0,1,1
H,MET,11,73,81.75,35.25,39.5,77.375,37.375,0,1,1
H,MET,12,0.75,9.25,0,0.75,5,0.375,0,1,1
H,MET,13,50.75,51.25,25.75,37.75,51,31.75,0,1,1
H,MET,14,100.25,97.5,43.75,52.5,98.875,48.125,0,1,1
H,MET,15,84.5,76.5,45.5,47.5,80.5,46.5,0,1,1
H,MET,16,45.75,49.25,41.25,55.5,47.5,48.375,0,1,1
H,MET,17,69,80,60.25,70.5,74.5,65.375,0,1,1
H,MET,18,84.75,84,29,41.25,84.375,35.125,0,1,1
H,MET,19,91.25,84.75,51,37.75,88,44.375,0,1,1
H,MET,20,88.25,90.25,44.75,48.5,89.25,46.625,0,1,1
H,MET,21,61,60.5,29.75,23.5,60.75,26.625,0,1,1
H,MET,22,98.75,103.5,62,55,101.125,58.5,0,1,1
H,MET,23,101.25,82.25,56.5,50,91.75,53.25,0,1,1
H,MET,24,99.75,96,47.5,55.75,97.875,51.625,0,1,1
H,MET,25,85.75,77,50,55,81.375,52.5,0,1,1
H,MET,26,85.75,78.5,43.5,42.25,82.125,42.875,0,1,1
H,MET,27,66.75,82.5,46.5,57.75,74.625,52.125,0,1,1
H,MET,28,66.25,61,46.25,45.5,63.625,45.875,0,1,1
H,MET,29,75.25,86.5,44.75,55.25,80.875,50,0,1,1
H,MET,30,94.25,92.5,39.25,46.5,93.375,42.875,0,1,1
L,MET,1,61.25,58.25,34.25,40.25,59.75,37.25,0,1,1
L,MET,2,46.5,43.75,24.25,29,45.125,26.625,0,1,1
L,MET,3,47.75,59,16.5,20.75,53.375,18.625,0,1,1
L,MET,4,3,0,1.5,0,1.5,0.75,0,1,1
L,MET,5,2.5,0,0.75,0,1.25,0.375,0,1,1
L,MET,6,57.5,63.25,34.5,38,60.375,36.25,0,1,1
L,MET,7,71.5,66.25,54.5,56.25,68.875,55.375,0,1,1
L,MET,8,82.25,82.25,62.25,60.5,82.25,61.375,0,1,1
L,MET,9,63.25,67,52.25,69.75,65.125,61,0,1,1
L,MET,10,38.25,40,32.25,47.75,39.125,40,0,1,1
L,MET,11,73,78.75,36.5,39.25,75.875,37.875,0,1,1
L,MET,12,67.75,61.5,30,39.25,64.625,34.625,0,1,1
L,MET,13,69.75,68.25,29.25,31,69,30.125,0,1,1
L,MET,14,68.5,73,50.75,60.25,70.75,55.5,0,1,1
L,MET,15,52.75,61.25,42,49,57,45.5,0,1,1
L,MET,16,89,78.75,68.25,60.75,83.875,64.5,0,1,1
L,MET,17,58.25,71.25,32.25,44.25,64.75,38.25,0,1,1
L,MET,18,71.5,83.75,37.25,45.5,77.625,41.375,0,1,1
L,MET,19,81.25,79.25,47,59,80.25,53,0,1,1
L,MET,20,34.25,39.75,22.75,32.75,37,27.75,0,1,1
L,MET,21,71.25,68,40,40.25,69.625,40.125,0,1,1
L,MET,22,66,72,30.5,26,69,28.25,0,1,1
L,MET,23,46.75,40.25,28.75,32,43.5,30.375,0,1,1
L,MET,24,3,2.5,0.75,0.25,2.75,0.5,0,1,1
L,MET,25,0,0,0,0,0,0,0,0,0
L,MET,26,52.75,49,16.75,24,50.875,20.375,0,1,1
L,MET,27,76,56.75,39,37,66.375,38,0,1,1
L,MET,28,69.75,84.25,38.5,52,77,45.25,0,1,1
L,MET,29,39.25,46,26.25,27.5,42.625,26.875,0,1,1
L,MET,30,77,76.25,44.75,33.25,76.625,39,0,1,1
H,MG_MET,1,114.75,109.5,56.25,59.5,112.125,57.875,1,1,1
H,MG_MET,2,69.25,69.75,37.25,30.5,69.5,33.875,1,1,1
H,MG_MET,3,62.75,61.25,84,48.75,62,66.375,1,1,1
H,MG_MET,4,92.5,95.25,55.25,59.5,93.875,57.375,1,1,1
H,MG_MET,5,92.75,78,38.5,45.25,85.375,41.875,1,1,1
H,MG_MET,6,23,41,32.75,32.25,32,32.5,1,1,1
H,MG_MET,7,101.75,93.5,55.5,53,97.625,54.25,1,1,1
H,MG_MET,8,28.25,26.75,63.25,61,27.5,62.125,1,1,1
H,MG_MET,9,75,64.75,36.75,52.5,69.875,44.625,1,1,1
H,MG_MET,10,54.75,58.5,27.75,29.25,56.625,28.5,1,1,1
H,MG_MET,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,MG_MET,12,84,95.5,52.25,53,89.75,52.625,1,1,1
H,MG_MET,13,0,0,0,0,0,0,1,0,0
H,MG_MET,14,35,30.75,31,29,32.875,30,1,1,1
H,MG_MET,15,113.25,111.75,52.75,54.25,112.5,53.5,1,1,1
H,MG_MET,16,23.75,28.75,46.5,54.5,26.25,50.5,1,1,1
H,MG_MET,17,76.75,87.75,49,55.25,82.25,52.125,1,1,1
H,MG_MET,18,95.25,89.25,109.5,117,92.25,113.25,1,1,1
H,MG_MET,19,64.75,52.75,53.5,42.25,58.75,47.875,1,1,1
H,MG_MET,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,MG_MET,21,0,0,278.25,267.5,0,272.875,1,0,1
H,MG_MET,22,46.25,47,57.25,59.75,46.625,58.5,1,1,1
H,MG_MET,23,57.75,58.5,50.5,52,58.125,51.25,1,1,1
H,MG_MET,24,72.5,100.25,51.5,57.5,86.375,54.5,1,1,1
H,MG_MET,25,85.5,92.25,44.75,46.75,88.875,45.75,1,1,1
H,MG_MET,26,NA,NA,NA,NA,NA,NA,NA,NA,NA
H,MG_MET,27,65,69,47.5,47.5,67,47.5,1,1,1
H,MG_MET,28,58,58.25,37.75,40.25,58.125,39,1,1,1
H,MG_MET,29,49.5,32.75,45.75,36,41.125,40.875,1,1,1
H,MG_MET,30,8.25,10,62,71,9.125,66.5,1,1,1
L,MG_MET,1,65.5,57,38.5,40.75,61.25,39.625,1,1,1
L,MG_MET,2,55,59.75,34.25,41.5,57.375,37.875,1,1,1
L,MG_MET,3,46,50.25,13,21.5,48.125,17.25,1,1,1
L,MG_MET,4,34.5,37.75,11,16.75,36.125,13.875,1,1,1
L,MG_MET,5,37.5,43.25,21,28.75,40.375,24.875,1,1,1
L,MG_MET,6,62.75,62.25,24.75,23.25,62.5,24,1,1,1
L,MG_MET,7,0,0,0,0,0,0,1,0,0
L,MG_MET,8,0,0,0,0,0,0,1,0,0
L,MG_MET,9,8.75,9.5,7.75,7.75,9.125,7.75,1,1,1
L,MG_MET,10,47.5,63,29,30,55.25,29.5,1,1,1
L,MG_MET,11,0,0,0,0,0,0,1,0,0
L,MG_MET,12,49.75,56.25,19,27.75,53,23.375,1,1,1
L,MG_MET,13,0,0,0,0,0,0,1,0,0
L,MG_MET,14,66,66,53.5,65.25,66,59.375,1,1,1
L,MG_MET,15,58,53.75,35.5,34.75,55.875,35.125,1,1,1
L,MG_MET,16,58.75,83.5,23.25,35.5,71.125,29.375,0,1,1
L,MG_MET,17,25.5,20.25,14,10,22.875,12,1,1,1
L,MG_MET,18,56.75,70,24.25,42.25,63.375,33.25,1,1,1
L,MG_MET,19,67,66.5,42.75,41,66.75,41.875,1,1,1
L,MG_MET,20,114.25,123.25,53.5,64.5,118.75,59,1,1,1
L,MG_MET,21,60.5,71.5,29.25,41.75,66,35.5,1,1,1
L,MG_MET,22,0,0,0,0,0,0,1,0,0
L,MG_MET,23,76,87.75,32.5,37.75,81.875,35.125,1,1,1
L,MG_MET,24,NA,NA,NA,NA,NA,NA,NA,NA,NA
L,MG_MET,25,23,19,15.75,27,21,21.375,1,1,1
L,MG_MET,26,43,49.25,36.25,34,46.125,35.125,1,1,1
L,MG_MET,27,47.5,49.25,26,32.25,48.375,29.125,1,1,1
L,MG_MET,28,85.75,87.75,45.5,55.25,86.75,50.375,1,1,1
L,MG_MET,29,70.75,59.5,26.75,32,65.125,29.375,1,1,1
L,MG_MET,30,75.75,63.75,41,50.5,69.75,45.75,1,1,1
H,LATE_MET,1,0,0.5,222.75,266.5,0.25,244.625,0,1,1
H,LATE_MET,2,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,3,0,0,0,0,0,0,0,0,0
H,LATE_MET,4,0,0,0,0,0,0,0,0,0
H,LATE_MET,5,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,6,0,0,0,0,0,0,0,0,0
H,LATE_MET,7,42.75,55.75,177.25,217.75,49.25,197.5,0,1,1
H,LATE_MET,8,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,9,7,8.25,223,194.75,7.625,208.875,0,1,1
H,LATE_MET,10,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,11,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,12,186,200.5,74.25,82.75,193.25,78.5,0,1,1
H,LATE_MET,13,0,0,0,0,0,0,0,0,0
H,LATE_MET,14,0,0,0,0,0,0,0,0,0
H,LATE_MET,15,0,0,0,0,0,0,0,0,0
H,LATE_MET,16,0,0,0,0,0,0,0,0,0
H,LATE_MET,17,0,0,0,0,0,0,0,0,0
H,LATE_MET,18,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,19,NA,NA,NA,NA,NA,NA,0,NA,NA
H,LATE_MET,20,0,0,0,0,0,0,0,0,0
H,LATE_MET,21,4.75,4,215.5,182.25,4.375,198.875,0,1,1
H,LATE_MET,22,0,0,0,0,0,0,0,0,0
H,LATE_MET,23,0,0,22,27.75,0,24.875,0,0,1
H,LATE_MET,24,0,0,0,0,0,0,0,0,0
H,LATE_MET,25,0,0,0,0,0,0,0,0,0
H,LATE_MET,26,0,0,0,0,0,0,0,0,0
H,LATE_MET,27,0,0,0,0,0,0,0,0,0
H,LATE_MET,28,198.25,198.75,130.25,95.25,198.5,112.75,0,1,1
H,LATE_MET,29,7.25,1.75,2,0.25,4.5,1.125,0,1,1
H,LATE_MET,30,233.75,231.5,135.25,123.5,232.625,129.375,0,1,1
L,LATE_MET,1,65.5,69.75,62.5,82,67.625,72.25,0,1,1
L,LATE_MET,2,0,0,0,0,0,0,0,0,0
L,LATE_MET,3,1.5,1.75,69.75,87.75,1.625,78.75,0,1,1
L,LATE_MET,4,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,5,113,127,76.5,77,120,76.75,0,1,1
L,LATE_MET,6,119.75,125.25,96.75,91,122.5,93.875,0,1,1
L,LATE_MET,7,111,129.75,52.75,46,120.375,49.375,0,1,1
L,LATE_MET,8,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,9,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,10,135.25,139.75,56,50.75,137.5,53.375,0,1,1
L,LATE_MET,11,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,12,10.25,3,7.75,0.75,6.625,4.25,0,1,1
L,LATE_MET,13,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,14,0,0,0,0,0,0,0,0,0
L,LATE_MET,15,160.5,161,55.75,55.5,160.75,55.625,0,1,1
L,LATE_MET,16,132.25,137.5,76.25,73.5,134.875,74.875,0,1,1
L,LATE_MET,17,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,18,0,0,0,0,0,0,0,0,0
L,LATE_MET,19,0,0,35.25,3,0,19.125,0,0,1
L,LATE_MET,20,0,0,224.25,250,0,237.125,0,0,1
L,LATE_MET,21,92.75,104.5,63,62.75,98.625,62.875,0,1,1
L,LATE_MET,22,0,0,0,0,0,0,0,0,0
L,LATE_MET,23,NA,NA,NA,NA,NA,NA,0,NA,NA
L,LATE_MET,24,127.75,148.75,66.75,76.75,138.25,71.75,0,1,1
L,LATE_MET,25,166.5,163.5,99.5,101,165,100.25,0,1,1
L,LATE_MET,26,0,0,0,0,0,0,0,0,0
L,LATE_MET,27,0,0,100.25,111,0,105.625,0,0,1
