food,parasite,rep,lifespan,status
H,C,1,59,1
H,C,2,24,1
H,C,3,68,1
H,C,4,NA,1
H,C,5,35,1
H,C,6,44,1
H,C,7,12,1
H,C,8,44,1
H,C,9,73,1
H,C,10,35,1
H,C,11,68,1
H,C,12,33,1
H,C,13,31,1
H,C,14,44,1
H,C,15,23,1
H,C,16,70,1
H,C,17,NA,1
H,C,18,11,1
H,C,19,11,1
H,C,20,59,1
H,C,21,26,1
H,C,22,73,0
H,C,23,18,1
H,C,24,25,1
H,C,25,31,1
H,C,26,56,1
H,C,27,26,1
H,C,28,63,1
H,C,29,11,1
H,C,30,NA,1
L,C,1,24,1
L,C,2,27,1
L,C,3,24,1
L,C,4,26,1
L,C,5,17,1
L,C,6,24,1
L,C,7,28,1
L,C,8,29,1
L,C,9,24,1
L,C,10,23,1
L,C,11,24,1
L,C,12,25,1
L,C,13,28,1
L,C,14,24,1
L,C,15,26,1
L,C,16,25,1
L,C,17,24,1
L,C,18,27,1
L,C,19,28,1
L,C,20,21,1
L,C,21,23,1
L,C,22,24,1
L,C,23,24,1
L,C,24,34,1
L,C,25,25,1
L,C,26,12,1
L,C,27,28,1
L,C,28,19,1
L,C,29,27,1
L,C,30,28,1
H,MG,1,18,1
H,MG,2,24,1
H,MG,3,25,1
H,MG,4,24,1
H,MG,5,24,1
H,MG,6,61,1
H,MG,7,NA,1
H,MG,8,24,1
H,MG,9,27,1
H,MG,10,24,1
H,MG,11,29,1
H,MG,12,42,1
H,MG,13,9,1
H,MG,14,25,1
H,MG,15,11,1
H,MG,16,65,1
H,MG,17,17,1
H,MG,18,11,1
H,MG,19,9,1
H,MG,20,68,1
H,MG,21,25,1
H,MG,22,11,1
H,MG,23,25,1
H,MG,24,27,1
H,MG,25,25,1
H,MG,26,48,1
H,MG,27,25,1
H,MG,28,67,1
H,MG,29,70,1
H,MG,30,25,1
L,MG,1,18,1
L,MG,2,5,1
L,MG,3,29,1
L,MG,4,18,1
L,MG,5,21,1
L,MG,6,21,1
L,MG,7,26,1
L,MG,8,26,1
L,MG,9,20,1
L,MG,10,17,1
L,MG,11,25,1
L,MG,12,27,1
L,MG,13,62,1
L,MG,14,33,1
L,MG,15,60,1
L,MG,16,21,1
L,MG,17,NA,1
L,MG,18,23,1
L,MG,19,34,1
L,MG,20,25,1
L,MG,21,NA,1
L,MG,22,28,1
L,MG,23,NA,1
L,MG,24,25,1
L,MG,25,34,1
L,MG,26,28,1
L,MG,27,15,1
L,MG,28,4,1
L,MG,29,16,1
L,MG,30,12,1
H,MET,1,NA,1
H,MET,2,16,1
H,MET,3,15,1
H,MET,4,14,1
H,MET,5,14,1
H,MET,6,16,1
H,MET,7,18,1
H,MET,8,5,1
H,MET,9,16,1
H,MET,10,14,1
H,MET,11,15,1
H,MET,12,7,1
H,MET,13,14,1
H,MET,14,14,1
H,MET,15,14,1
H,MET,16,14,1
H,MET,17,14,1
H,MET,18,14,1
H,MET,19,16,1
H,MET,20,14,1
H,MET,21,14,1
H,MET,22,18,1
H,MET,23,17,1
H,MET,24,17,1
H,MET,25,14,1
H,MET,26,15,1
H,MET,27,14,1
H,MET,28,14,1
H,MET,29,16,1
H,MET,30,17,1
L,MET,1,18,1
L,MET,2,17,1
L,MET,3,18,1
L,MET,4,26,1
L,MET,5,22,1
L,MET,6,18,1
L,MET,7,16,1
L,MET,8,17,1
L,MET,9,16,1
L,MET,10,16,1
L,MET,11,16,1
L,MET,12,16,1
L,MET,13,21,1
L,MET,14,17,1
L,MET,15,17,1
L,MET,16,17,1
L,MET,17,17,1
L,MET,18,18,1
L,MET,19,16,1
L,MET,20,16,1
L,MET,21,17,1
L,MET,22,19,1
L,MET,23,14,1
L,MET,24,38,1
L,MET,25,35,1
L,MET,26,18,1
L,MET,27,16,1
L,MET,28,17,1
L,MET,29,17,1
L,MET,30,17,1
H,MG_MET,1,18,1
H,MG_MET,2,17,1
H,MG_MET,3,14,1
H,MG_MET,4,17,1
H,MG_MET,5,18,1
H,MG_MET,6,14,1
H,MG_MET,7,18,1
H,MG_MET,8,14,1
H,MG_MET,9,14,1
H,MG_MET,10,17,1
H,MG_MET,11,4,1
H,MG_MET,12,17,1
H,MG_MET,13,60,1
H,MG_MET,14,14,1
H,MG_MET,15,18,1
H,MG_MET,16,14,1
H,MG_MET,17,16,1
H,MG_MET,18,19,1
H,MG_MET,19,14,1
H,MG_MET,20,14,1
H,MG_MET,21,14,1
H,MG_MET,22,13,1
H,MG_MET,23,14,1
H,MG_MET,24,16,1
H,MG_MET,25,18,1
H,MG_MET,26,NA,1
H,MG_MET,27,14,1
H,MG_MET,28,17,1
H,MG_MET,29,13,1
H,MG_MET,30,12,1
L,MG_MET,1,17,1
L,MG_MET,2,16,1
L,MG_MET,3,22,1
L,MG_MET,4,17,1
L,MG_MET,5,16,1
L,MG_MET,6,21,1
L,MG_MET,7,25,1
L,MG_MET,8,24,1
L,MG_MET,9,12,1
L,MG_MET,10,19,1
L,MG_MET,11,25,1
L,MG_MET,12,18,1
L,MG_MET,13,25,1
L,MG_MET,14,17,1
L,MG_MET,15,16,1
L,MG_MET,16,19,1
L,MG_MET,17,17,1
L,MG_MET,18,20,1
L,MG_MET,19,19,1
L,MG_MET,20,23,1
L,MG_MET,21,17,1
L,MG_MET,22,24,1
L,MG_MET,23,20,1
L,MG_MET,24,4,1
L,MG_MET,25,18,1
L,MG_MET,26,16,1
L,MG_MET,27,16,1
L,MG_MET,28,20,1
L,MG_MET,29,19,1
L,MG_MET,30,16,1
H,LATE_MET,1,29,1
H,LATE_MET,2,11,1
H,LATE_MET,3,25,1
H,LATE_MET,4,23,1
H,LATE_MET,5,12,1
H,LATE_MET,6,24,1
H,LATE_MET,7,30,1
H,LATE_MET,8,NA,1
H,LATE_MET,9,29,1
H,LATE_MET,10,9,1
H,LATE_MET,11,11,1
H,LATE_MET,12,36,1
H,LATE_MET,13,27,1
H,LATE_MET,14,25,1
H,LATE_MET,15,26,1
H,LATE_MET,16,27,1
H,LATE_MET,17,24,1
H,LATE_MET,18,26,1
H,LATE_MET,19,10,1
H,LATE_MET,20,25,1
H,LATE_MET,21,29,1
H,LATE_MET,22,25,1
H,LATE_MET,23,28,1
H,LATE_MET,24,24,1
H,LATE_MET,25,26,1
H,LATE_MET,26,26,1
H,LATE_MET,27,26,1
H,LATE_MET,28,33,1
H,LATE_MET,29,25,1
H,LATE_MET,30,37,1
L,LATE_MET,1,33,1
L,LATE_MET,2,26,1
L,LATE_MET,3,28,1
L,LATE_MET,4,16,1
L,LATE_MET,5,33,1
L,LATE_MET,6,36,1
L,LATE_MET,7,35,1
L,LATE_MET,8,5,1
L,LATE_MET,9,12,1
L,LATE_MET,10,34,1
L,LATE_MET,11,5,1
L,LATE_MET,12,26,1
L,LATE_MET,13,11,1
L,LATE_MET,14,28,1
L,LATE_MET,15,35,1
